open,high,low,close,volume,datetime,symbol
21.5,22.0,16.71,17.73,877766,2021-07-15 05:00:00,ENVX
18.87,19.8853,17.0,17.7,1161927,2021-07-16 05:00:00,ENVX
17.51,18.71,17.1,18.56,475600,2021-07-19 05:00:00,ENVX
18.91,19.64,18.6204,19.08,384185,2021-07-20 05:00:00,ENVX
19.99,20.5,17.79,18.0,1232532,2021-07-21 05:00:00,ENVX
18.1,19.12,17.51,17.73,770606,2021-07-22 05:00:00,ENVX
18.23,18.25,16.56,17.11,762582,2021-07-23 05:00:00,ENVX
17.01,17.38,15.34,16.1,914428,2021-07-26 05:00:00,ENVX
16.1,16.19,15.11,15.57,417449,2021-07-27 05:00:00,ENVX
15.58,16.54,15.04,16.36,684674,2021-07-28 05:00:00,ENVX
16.35,16.74,15.5,16.57,452935,2021-07-29 05:00:00,ENVX
16.26,16.72,16.02,16.51,328140,2021-07-30 05:00:00,ENVX
16.7,17.05,15.91,16.02,464635,2021-08-02 05:00:00,ENVX
15.99,16.41,15.17,15.46,447518,2021-08-03 05:00:00,ENVX
15.26,15.7,14.59,14.75,509096,2021-08-04 05:00:00,ENVX
15.03,15.32,14.615,15.31,460176,2021-08-05 05:00:00,ENVX
15.11,15.9,13.75,14.8,1225137,2021-08-06 05:00:00,ENVX
14.63,15.18,14.23,15.17,488586,2021-08-09 05:00:00,ENVX
14.89,15.139,14.2016,14.79,2619935,2021-08-10 05:00:00,ENVX
15.3,15.377,13.75,14.44,2261158,2021-08-11 05:00:00,ENVX
14.38,15.04,14.11,14.6,1389146,2021-08-12 05:00:00,ENVX
14.92,15.14,14.27,14.59,1141799,2021-08-13 05:00:00,ENVX
14.53,14.72,14.06,14.48,546043,2021-08-16 05:00:00,ENVX
14.83,14.97,13.55,13.75,1228454,2021-08-17 05:00:00,ENVX
13.65,13.93,13.295,13.67,778304,2021-08-18 05:00:00,ENVX
13.5,14.08,13.5,14.01,381872,2021-08-19 05:00:00,ENVX
14.11,14.21,13.72,13.99,397441,2021-08-20 05:00:00,ENVX
14.22,14.22,13.72,14.21,1207054,2021-08-23 05:00:00,ENVX
14.22,15.2,14.14,15.05,1150311,2021-08-24 05:00:00,ENVX
15.73,15.75,14.5,15.05,2954022,2021-08-25 05:00:00,ENVX
15.1202,15.5,14.89,15.24,922211,2021-08-26 05:00:00,ENVX
15.22,15.79,15.21,15.67,1106651,2021-08-27 05:00:00,ENVX
15.87,15.91,15.31,15.46,659371,2021-08-30 05:00:00,ENVX
15.4,15.64,15.25,15.53,897379,2021-08-31 05:00:00,ENVX
15.54,17.44,15.35,16.78,1539419,2021-09-01 05:00:00,ENVX
16.97,17.3969,16.3,17.22,839416,2021-09-02 05:00:00,ENVX
17.18,17.67,17.09,17.57,508398,2021-09-03 05:00:00,ENVX
17.6,17.9091,15.03,15.95,2629189,2021-09-07 05:00:00,ENVX
15.71,16.29,15.5205,16.06,752607,2021-09-08 05:00:00,ENVX
16.2,16.84,16.03,16.37,882267,2021-09-09 05:00:00,ENVX
