open,high,low,close,volume,datetime,symbol
180.41,180.66,180.41,180.41,1300,2021-05-03 13:28:00,CDW
180.26,180.26,180.26,180.26,100,2021-05-03 13:29:00,CDW
180.3,180.77,179.35,179.98,18171,2021-05-03 13:30:00,CDW
179.66,180.15,179.66,180.15,600,2021-05-03 13:31:00,CDW
180.23,180.5,180.23,180.26,500,2021-05-03 13:32:00,CDW
180.565,180.565,180.01,180.12,2500,2021-05-03 13:33:00,CDW
180.18,180.34,180.18,180.28,789,2021-05-03 13:34:00,CDW
180.295,180.31,180.12,180.12,700,2021-05-03 13:35:00,CDW
180.225,180.2414,180.11,180.11,677,2021-05-03 13:36:00,CDW
180.04,180.21,179.99,180.04,3700,2021-05-03 13:37:00,CDW
179.99,180.16,179.99,180.01,1100,2021-05-03 13:38:00,CDW
180.14,180.14,180.0,180.0,807,2021-05-03 13:39:00,CDW
180.08,180.29,180.02,180.155,3094,2021-05-03 13:40:00,CDW
180.2,180.2,180.09,180.09,200,2021-05-03 13:41:00,CDW
180.065,180.065,179.9,179.9,540,2021-05-03 13:42:00,CDW
179.9,179.9,179.9,179.9,100,2021-05-03 13:43:00,CDW
180.02,180.13,179.98,179.98,629,2021-05-03 13:44:00,CDW
179.98,180.135,179.97,180.05,2100,2021-05-03 13:45:00,CDW
179.94,179.94,179.81,179.81,200,2021-05-03 13:46:00,CDW
180.15,180.15,180.15,180.15,100,2021-05-03 13:47:00,CDW
179.98,180.22,179.76,179.95,2500,2021-05-03 13:48:00,CDW
179.99,180.08,179.96,179.96,500,2021-05-03 13:49:00,CDW
179.81,180.05,179.81,179.9,3834,2021-05-03 13:50:00,CDW
179.88,179.88,179.69,179.825,600,2021-05-03 13:51:00,CDW
179.855,179.855,179.855,179.855,100,2021-05-03 13:52:00,CDW
179.7803,179.93,179.7803,179.8,480,2021-05-03 13:53:00,CDW
179.805,179.805,179.805,179.805,200,2021-05-03 13:54:00,CDW
179.79,179.94,179.61,179.68,3300,2021-05-03 13:55:00,CDW
179.53,179.74,179.53,179.68,300,2021-05-03 13:56:00,CDW
179.64,179.64,179.48,179.63,1100,2021-05-03 13:57:00,CDW
179.57,179.57,179.48,179.52,400,2021-05-03 13:58:00,CDW
179.39,179.425,179.39,179.41,300,2021-05-03 13:59:00,CDW
179.4,179.5,179.32,179.39,1000,2021-05-03 14:00:00,CDW
179.395,179.395,179.12,179.12,400,2021-05-03 14:01:00,CDW
179.35,179.534,179.18,179.18,1111,2021-05-03 14:02:00,CDW
179.16,179.2869,179.06,179.2869,1000,2021-05-03 14:03:00,CDW
178.98,179.05,178.92,179.05,400,2021-05-03 14:04:00,CDW
179.05,179.16,178.94,179.04,800,2021-05-03 14:05:00,CDW
179.13,179.205,178.9332,179.03,1418,2021-05-03 14:06:00,CDW
179.1,179.14,178.99,179.14,500,2021-05-03 14:07:00,CDW
179.17,179.19,179.0,179.0,1300,2021-05-03 14:08:00,CDW
178.95,178.99,178.95,178.975,400,2021-05-03 14:09:00,CDW
179.0,179.08,178.77,178.77,1100,2021-05-03 14:10:00,CDW
178.795,178.89,178.78,178.89,1400,2021-05-03 14:11:00,CDW
178.82,178.93,178.79,178.79,1000,2021-05-03 14:12:00,CDW
178.71,178.73,178.5,178.61,3100,2021-05-03 14:13:00,CDW
178.635,178.71,178.49,178.49,1003,2021-05-03 14:14:00,CDW
178.56,178.74,178.56,178.62,1596,2021-05-03 14:15:00,CDW
178.69,178.73,178.51,178.6,1901,2021-05-03 14:16:00,CDW
178.52,178.61,178.33,178.42,2102,2021-05-03 14:17:00,CDW
178.45,178.57,178.43,178.49,2462,2021-05-03 14:18:00,CDW
178.445,178.5,178.3901,178.49,3167,2021-05-03 14:19:00,CDW
178.45,178.5,178.2,178.24,7247,2021-05-03 14:20:00,CDW
178.26,178.54,178.26,178.33,4315,2021-05-03 14:21:00,CDW
178.27,178.47,178.27,178.47,2923,2021-05-03 14:22:00,CDW
178.45,178.61,178.45,178.6,1333,2021-05-03 14:23:00,CDW
178.51,178.635,178.51,178.525,2100,2021-05-03 14:24:00,CDW
178.39,178.39,178.37,178.37,200,2021-05-03 14:25:00,CDW
178.3,178.3,178.14,178.2,2659,2021-05-03 14:26:00,CDW
178.13,178.29,178.13,178.2576,2443,2021-05-03 14:27:00,CDW
178.05,178.115,178.02,178.02,500,2021-05-03 14:28:00,CDW
178.075,178.18,178.06,178.095,1313,2021-05-03 14:29:00,CDW
178.18,178.21,178.02,178.02,2125,2021-05-03 14:30:00,CDW
178.04,178.135,178.04,178.135,200,2021-05-03 14:31:00,CDW
178.18,178.22,178.0,178.11,2448,2021-05-03 14:32:00,CDW
178.11,178.18,178.05,178.18,2200,2021-05-03 14:33:00,CDW
178.12,178.28,177.98,177.98,3000,2021-05-03 14:34:00,CDW
178.11,178.17,178.02,178.085,600,2021-05-03 14:35:00,CDW
178.13,178.15,178.01,178.095,2700,2021-05-03 14:36:00,CDW
178.1,178.1,178.01,178.09,453,2021-05-03 14:37:00,CDW
178.06,178.07,177.84,177.93,2150,2021-05-03 14:38:00,CDW
177.865,177.93,177.8,177.86,727,2021-05-03 14:39:00,CDW
177.79,177.94,177.79,177.93,2473,2021-05-03 14:40:00,CDW
177.945,178.08,177.88,177.93,1200,2021-05-03 14:41:00,CDW
177.92,177.92,177.875,177.875,300,2021-05-03 14:42:00,CDW
177.89,177.93,177.84,177.93,1400,2021-05-03 14:43:00,CDW
177.85,177.91,177.79,177.91,1024,2021-05-03 14:44:00,CDW
177.99,178.165,177.99,178.0,2200,2021-05-03 14:45:00,CDW
178.07,178.07,178.0,178.0,474,2021-05-03 14:46:00,CDW
178.0,178.11,177.92,178.11,4239,2021-05-03 14:47:00,CDW
178.1,178.15,178.065,178.08,1764,2021-05-03 14:48:00,CDW
178.08,178.25,178.02,178.24,4495,2021-05-03 14:49:00,CDW
178.25,178.26,178.25,178.26,1200,2021-05-03 14:50:00,CDW
178.28,178.28,177.97,177.985,5571,2021-05-03 14:51:00,CDW
177.99,177.99,177.86,177.86,1500,2021-05-03 14:52:00,CDW
177.86,177.98,177.73,177.98,1400,2021-05-03 14:53:00,CDW
177.94,178.08,177.94,178.03,1317,2021-05-03 14:54:00,CDW
178.03,178.03,177.84,177.95,800,2021-05-03 14:55:00,CDW
177.97,177.97,177.8825,177.8825,800,2021-05-03 14:56:00,CDW
177.93,177.93,177.875,177.91,800,2021-05-03 14:57:00,CDW
177.95,177.97,177.91,177.97,2400,2021-05-03 14:58:00,CDW
177.96,178.0,177.89,178.0,2000,2021-05-03 14:59:00,CDW
177.98,177.98,177.78,177.83,1000,2021-05-03 15:00:00,CDW
177.815,177.88,177.765,177.79,2200,2021-05-03 15:01:00,CDW
177.8,177.87,177.795,177.795,500,2021-05-03 15:02:00,CDW
177.65,177.67,177.57,177.62,898,2021-05-03 15:03:00,CDW
177.72,177.72,177.62,177.635,600,2021-05-03 15:04:00,CDW
177.65,177.72,177.595,177.6,1101,2021-05-03 15:05:00,CDW
177.6,177.67,177.512,177.67,800,2021-05-03 15:06:00,CDW
177.69,177.83,177.69,177.82,1386,2021-05-03 15:07:00,CDW
177.74,177.74,177.635,177.68,1100,2021-05-03 15:08:00,CDW
177.69,177.76,177.69,177.76,700,2021-05-03 15:09:00,CDW
177.77,177.8,177.74,177.79,1089,2021-05-03 15:10:00,CDW
177.775,177.8,177.71,177.79,10548,2021-05-03 15:11:00,CDW
177.83,177.83,177.73,177.73,1000,2021-05-03 15:12:00,CDW
177.72,177.81,177.72,177.81,1076,2021-05-03 15:13:00,CDW
177.75,177.82,177.74,177.81,1198,2021-05-03 15:14:00,CDW
177.83,178.0,177.83,177.9,1426,2021-05-03 15:15:00,CDW
