open,high,low,close,volume,datetime,symbol
5.95,8.74,5.6,7.89,14615533,2021-06-25 05:00:00,ACXP
7.1,7.4,6.0,6.24,3005989,2021-06-28 05:00:00,ACXP
6.16,7.0,6.1519,6.26,2179691,2021-06-29 05:00:00,ACXP
6.37,6.62,5.65,6.38,2016949,2021-06-30 05:00:00,ACXP
6.74,6.84,5.82,6.18,2751113,2021-07-01 05:00:00,ACXP
5.97,6.04,5.55,5.85,585702,2021-07-02 05:00:00,ACXP
5.76,5.76,5.32,5.55,802978,2021-07-06 05:00:00,ACXP
5.73,5.89,5.47,5.83,701599,2021-07-07 05:00:00,ACXP
5.64,5.89,5.6101,5.72,324217,2021-07-08 05:00:00,ACXP
5.7,6.18,5.6,6.08,486571,2021-07-09 05:00:00,ACXP
6.0335,6.26,5.8801,6.05,226827,2021-07-12 05:00:00,ACXP
6.03,6.14,5.54,5.82,627399,2021-07-13 05:00:00,ACXP
5.81,6.19,5.61,5.965,720891,2021-07-14 05:00:00,ACXP
5.97,6.35,5.81,6.12,649416,2021-07-15 05:00:00,ACXP
6.06,6.17,5.86,6.03,256743,2021-07-16 05:00:00,ACXP
5.87,5.96,5.61,5.81,359070,2021-07-19 05:00:00,ACXP
5.72,5.85,5.61,5.73,188270,2021-07-20 05:00:00,ACXP
5.71,5.71,5.5,5.55,224901,2021-07-21 05:00:00,ACXP
5.56,5.85,5.55,5.72,351127,2021-07-22 05:00:00,ACXP
5.65,5.74,5.5,5.57,170087,2021-07-23 05:00:00,ACXP
5.52,5.55,5.21,5.27,172320,2021-07-26 05:00:00,ACXP
5.26,5.39,5.03,5.13,123741,2021-07-27 05:00:00,ACXP
5.15,5.24,5.09,5.2,98288,2021-07-28 05:00:00,ACXP
5.24,5.72,5.2,5.58,218441,2021-07-29 05:00:00,ACXP
5.58,5.8299,5.5601,5.68,113285,2021-07-30 05:00:00,ACXP
5.83,5.85,5.48,5.52,205645,2021-08-02 05:00:00,ACXP
5.5,5.5906,5.11,5.13,230072,2021-08-03 05:00:00,ACXP
5.1,5.26,5.0,5.06,111955,2021-08-04 05:00:00,ACXP
5.1,5.1633,4.8,4.89,169818,2021-08-05 05:00:00,ACXP
4.8697,4.88,4.61,4.86,98479,2021-08-06 05:00:00,ACXP
5.0,5.0891,4.78,4.81,97170,2021-08-09 05:00:00,ACXP
4.84,5.05,4.81,4.94,36306,2021-08-10 05:00:00,ACXP
4.93,4.93,4.7,4.77,67550,2021-08-11 05:00:00,ACXP
4.8368,4.8599,4.7119,4.8,51605,2021-08-12 05:00:00,ACXP
4.84,4.85,4.7201,4.8,55852,2021-08-13 05:00:00,ACXP
4.8,4.8,4.21,4.23,247837,2021-08-16 05:00:00,ACXP
4.05,4.05,3.71,3.77,186757,2021-08-17 05:00:00,ACXP
3.82,4.25,3.79,4.18,144699,2021-08-18 05:00:00,ACXP
4.17,4.37,4.1501,4.26,73220,2021-08-19 05:00:00,ACXP
4.26,4.45,4.26,4.37,30083,2021-08-20 05:00:00,ACXP
4.48,4.6497,4.34,4.61,78496,2021-08-23 05:00:00,ACXP
4.56,4.745,4.48,4.66,33257,2021-08-24 05:00:00,ACXP
4.73,4.9949,4.61,4.93,50593,2021-08-25 05:00:00,ACXP
4.94,4.987,4.84,4.96,59481,2021-08-26 05:00:00,ACXP
5.0,5.07,4.72,4.81,57573,2021-08-27 05:00:00,ACXP
4.82,4.97,4.8101,4.92,25161,2021-08-30 05:00:00,ACXP
4.92,5.2608,4.8819,5.17,80121,2021-08-31 05:00:00,ACXP
5.27,5.27,5.04,5.12,31865,2021-09-01 05:00:00,ACXP
5.18,5.45,5.18,5.35,85205,2021-09-02 05:00:00,ACXP
5.3373,5.92,5.28,5.78,143901,2021-09-03 05:00:00,ACXP
5.88,5.88,5.73,5.8,101303,2021-09-07 05:00:00,ACXP
5.8,5.8,5.15,5.21,75103,2021-09-08 05:00:00,ACXP
5.14,5.1599,4.83,4.85,49781,2021-09-09 05:00:00,ACXP
4.94,5.0499,4.85,5.0,29036,2021-09-10 05:00:00,ACXP
5.07,5.57,5.05,5.55,77662,2021-09-13 05:00:00,ACXP
5.5,5.68,5.48,5.65,54844,2021-09-14 05:00:00,ACXP
5.56,5.58,5.03,5.05,36074,2021-09-15 05:00:00,ACXP
5.22,5.35,5.1,5.11,25241,2021-09-16 05:00:00,ACXP
5.14,5.22,4.56,4.58,61968,2021-09-17 05:00:00,ACXP
4.5,4.88,4.5,4.62,49221,2021-09-20 05:00:00,ACXP
4.6,4.75,4.35,4.36,28971,2021-09-21 05:00:00,ACXP
4.49,4.7518,4.49,4.65,26056,2021-09-22 05:00:00,ACXP
4.72,4.9438,4.68,4.75,35274,2021-09-23 05:00:00,ACXP
4.62,4.7524,4.35,4.385,49785,2021-09-24 05:00:00,ACXP
4.41,4.73,4.41,4.45,26716,2021-09-27 05:00:00,ACXP
4.51,4.89,4.4944,4.78,82944,2021-09-28 05:00:00,ACXP
4.69,5.41,4.63,5.22,137364,2021-09-29 05:00:00,ACXP
5.18,5.78,5.02,5.14,213625,2021-09-30 05:00:00,ACXP
5.14,5.32,4.97,5.21,120575,2021-10-01 05:00:00,ACXP
4.725,5.17,4.5,4.66,380013,2021-10-04 05:00:00,ACXP
4.54,4.7469,4.5001,4.67,34633,2021-10-05 05:00:00,ACXP
4.52,4.83,4.4001,4.7,46405,2021-10-06 05:00:00,ACXP
4.71,4.78,4.47,4.47,36097,2021-10-07 05:00:00,ACXP
4.47,4.5476,4.07,4.09,83302,2021-10-08 05:00:00,ACXP
4.18,4.52,4.07,4.51,43004,2021-10-11 05:00:00,ACXP
4.46,4.5432,4.352,4.41,61420,2021-10-12 05:00:00,ACXP
4.45,4.5543,4.39,4.52,26988,2021-10-13 05:00:00,ACXP
4.6,5.0,4.5,4.95,144453,2021-10-14 05:00:00,ACXP
5.0,5.0,4.7903,4.91,57715,2021-10-15 05:00:00,ACXP
