open,high,low,close,volume,datetime,symbol
9.61,9.63,9.61,9.63,101612,2021-08-17 05:00:00,IMAQ
9.655,9.67,9.655,9.66,7003,2021-08-19 05:00:00,IMAQ
9.67,9.72,9.66,9.72,44715,2021-08-20 05:00:00,IMAQ
9.69,9.83,9.67,9.67,538,2021-08-23 05:00:00,IMAQ
9.81,9.81,9.68,9.69,221520,2021-08-25 05:00:00,IMAQ
9.7,9.7,9.68,9.69,184930,2021-08-26 05:00:00,IMAQ
9.69,9.81,9.68,9.72,483300,2021-08-27 05:00:00,IMAQ
9.7,9.75,9.69,9.7,277000,2021-08-30 05:00:00,IMAQ
9.745,9.75,9.69,9.69,40457,2021-08-31 05:00:00,IMAQ
9.75,9.75,9.7,9.73,257978,2021-09-01 05:00:00,IMAQ
9.75,9.81,9.72,9.72,195192,2021-09-02 05:00:00,IMAQ
9.75,9.81,9.71,9.74,218184,2021-09-03 05:00:00,IMAQ
9.73,9.765,9.72,9.74,220021,2021-09-07 05:00:00,IMAQ
9.74,9.74,9.74,9.74,431418,2021-09-08 05:00:00,IMAQ
9.75,9.78,9.74,9.74,358605,2021-09-09 05:00:00,IMAQ
9.74,9.77,9.73,9.75,194500,2021-09-10 05:00:00,IMAQ
10.0,10.0,9.79,9.84,545152,2021-09-13 05:00:00,IMAQ
9.94,9.95,9.81,9.85,1762544,2021-09-14 05:00:00,IMAQ
9.85,9.9,9.8,9.85,1182159,2021-09-15 05:00:00,IMAQ
9.83,9.9,9.83,9.85,629523,2021-09-16 05:00:00,IMAQ
9.9,9.9,9.84,9.85,278479,2021-09-17 05:00:00,IMAQ
9.87,9.91,9.82,9.84,183191,2021-09-20 05:00:00,IMAQ
9.83,9.84,9.78,9.81,89679,2021-09-21 05:00:00,IMAQ
9.85,9.85,9.7811,9.83,104402,2021-09-22 05:00:00,IMAQ
9.83,9.83,9.78,9.82,127004,2021-09-23 05:00:00,IMAQ
9.86,9.86,9.77,9.81,58782,2021-09-24 05:00:00,IMAQ
9.91,9.91,9.83,9.85,149490,2021-09-27 05:00:00,IMAQ
9.89,9.89,9.78,9.83,84451,2021-09-28 05:00:00,IMAQ
9.88,9.88,9.8,9.85,52133,2021-09-29 05:00:00,IMAQ
9.87,9.87,9.79,9.8,67170,2021-09-30 05:00:00,IMAQ
9.8,9.85,9.79,9.79,19518,2021-10-01 05:00:00,IMAQ
9.85,9.92,9.8,9.88,243267,2021-10-04 05:00:00,IMAQ
9.88,9.88,9.82,9.85,84774,2021-10-05 05:00:00,IMAQ
9.85,9.85,9.8,9.815,84643,2021-10-06 05:00:00,IMAQ
9.82,9.9066,9.8,9.85,67373,2021-10-07 05:00:00,IMAQ
9.9,9.94,9.81,9.85,83954,2021-10-08 05:00:00,IMAQ
