open,high,low,close,volume,datetime,symbol
24.25,25.8217,24.22,25.5,10453599,2021-05-12 05:00:00,GLBE
25.8,27.4,25.37,25.5,2538464,2021-05-13 05:00:00,GLBE
25.66,26.99,25.55,26.76,482084,2021-05-14 05:00:00,GLBE
26.79,28.0,26.79,27.33,537006,2021-05-17 05:00:00,GLBE
27.31,27.77,26.25,26.8,627942,2021-05-18 05:00:00,GLBE
26.7,29.0,26.05,28.37,582595,2021-05-19 05:00:00,GLBE
28.75,30.2299,28.56,29.34,661856,2021-05-20 05:00:00,GLBE
30.01,32.23,29.6,31.44,1125832,2021-05-21 05:00:00,GLBE
31.7,33.0,31.34,32.5,689041,2021-05-24 05:00:00,GLBE
32.6,33.0,29.9,32.47,669836,2021-05-25 05:00:00,GLBE
32.65,33.38,30.32,32.11,593271,2021-05-26 05:00:00,GLBE
32.57,32.9799,31.03,31.88,461231,2021-05-27 05:00:00,GLBE
32.0,33.42,31.2801,32.86,547810,2021-05-28 05:00:00,GLBE
32.86,35.2534,32.39,34.9,759408,2021-06-01 05:00:00,GLBE
35.43,35.67,33.14,34.78,410648,2021-06-02 05:00:00,GLBE
34.72,35.19,33.62,35.0,336040,2021-06-03 05:00:00,GLBE
35.45,35.64,33.4079,35.5,834360,2021-06-04 05:00:00,GLBE
36.52,39.62,35.87,38.76,1187527,2021-06-07 05:00:00,GLBE
41.33,43.59,39.38,41.62,1578192,2021-06-08 05:00:00,GLBE
42.12,43.4699,39.7,40.26,689229,2021-06-09 05:00:00,GLBE
40.25,44.9,40.08,43.63,737315,2021-06-10 05:00:00,GLBE
46.42,52.9,44.75,46.52,2027371,2021-06-11 05:00:00,GLBE
46.5,50.4415,46.35,48.98,1047475,2021-06-14 05:00:00,GLBE
49.15,50.48,47.72,49.28,940432,2021-06-15 05:00:00,GLBE
49.28,51.0,44.52,47.28,989623,2021-06-16 05:00:00,GLBE
46.5,53.39,45.0,51.3,1023955,2021-06-17 05:00:00,GLBE
51.28,55.6799,50.81,53.46,1080727,2021-06-18 05:00:00,GLBE
54.51,58.3986,52.5301,55.36,1065303,2021-06-21 05:00:00,GLBE
56.23,58.56,55.75,58.2,678596,2021-06-22 05:00:00,GLBE
58.97,59.0,52.65,55.17,835833,2021-06-23 05:00:00,GLBE
55.2,62.997,55.2,57.42,1202342,2021-06-24 05:00:00,GLBE
57.88,60.98,57.0,58.28,874845,2021-06-25 05:00:00,GLBE
60.2472,61.2,58.01,60.27,521020,2021-06-28 05:00:00,GLBE
60.6,64.4965,58.2038,62.99,930506,2021-06-29 05:00:00,GLBE
62.61,62.9799,56.3,57.08,1473118,2021-06-30 05:00:00,GLBE
56.9238,57.625,52.21,55.84,1138177,2021-07-01 05:00:00,GLBE
55.9,56.9933,53.32,54.18,630864,2021-07-02 05:00:00,GLBE
53.0,56.61,51.11,55.49,963710,2021-07-06 05:00:00,GLBE
56.93,58.88,54.46,55.73,418486,2021-07-07 05:00:00,GLBE
52.4,55.5,51.22,53.49,551852,2021-07-08 05:00:00,GLBE
54.9008,56.68,53.55,54.79,337152,2021-07-09 05:00:00,GLBE
55.84,61.45,55.73,58.64,922221,2021-07-12 05:00:00,GLBE
58.41,65.5899,58.3105,62.22,1130127,2021-07-13 05:00:00,GLBE
62.5,68.73,55.15,57.06,1943393,2021-07-14 05:00:00,GLBE
55.3,58.88,52.49,54.19,775216,2021-07-15 05:00:00,GLBE
55.6964,58.8827,53.2877,57.36,877067,2021-07-16 05:00:00,GLBE
54.2239,55.99,52.77,54.17,613896,2021-07-19 05:00:00,GLBE
54.18,56.48,51.7,56.02,624770,2021-07-20 05:00:00,GLBE
55.94,59.66,55.31,59.02,576960,2021-07-21 05:00:00,GLBE
59.8,64.3,58.32,63.83,834553,2021-07-22 05:00:00,GLBE
64.14,67.26,60.64,66.7,785362,2021-07-23 05:00:00,GLBE
66.1,69.6,61.67,63.45,1051463,2021-07-26 05:00:00,GLBE
63.35,64.51,59.42,63.2,642173,2021-07-27 05:00:00,GLBE
63.95,70.6819,63.95,69.52,714501,2021-07-28 05:00:00,GLBE
69.26,70.62,67.6101,69.9,588717,2021-07-29 05:00:00,GLBE
67.69,73.2284,67.5914,69.64,622866,2021-07-30 05:00:00,GLBE
70.3,71.9,66.251,67.32,522714,2021-08-02 05:00:00,GLBE
67.37,70.75,67.09,67.77,359032,2021-08-03 05:00:00,GLBE
67.77,74.218,67.238,74.0,572839,2021-08-04 05:00:00,GLBE
72.77,77.07,72.12,75.5,751767,2021-08-05 05:00:00,GLBE
75.83,77.6,67.536,67.84,743410,2021-08-06 05:00:00,GLBE
70.26,70.97,64.2,64.58,679772,2021-08-09 05:00:00,GLBE
66.0,66.4999,61.0808,64.99,512500,2021-08-10 05:00:00,GLBE
64.1,69.09,63.53,68.89,623894,2021-08-11 05:00:00,GLBE
69.08,72.44,67.21,67.95,571650,2021-08-12 05:00:00,GLBE
68.5,71.82,67.78,70.05,536043,2021-08-13 05:00:00,GLBE
68.75,70.46,66.0,68.28,672250,2021-08-16 05:00:00,GLBE
68.51,79.5,66.0,69.05,3394203,2021-08-17 05:00:00,GLBE
71.25,76.8,71.03,74.55,1647004,2021-08-18 05:00:00,GLBE
71.65,72.7863,69.28,70.49,1674600,2021-08-19 05:00:00,GLBE
70.0,72.3,68.7,71.73,1125810,2021-08-20 05:00:00,GLBE
72.9923,73.49,67.91,69.0,930183,2021-08-23 05:00:00,GLBE
70.48,72.8,68.511,70.99,679681,2021-08-24 05:00:00,GLBE
71.0,71.38,68.68,69.5,497174,2021-08-25 05:00:00,GLBE
70.0,70.0,67.22,69.72,575881,2021-08-26 05:00:00,GLBE
69.98,74.7338,69.0,72.78,1635628,2021-08-27 05:00:00,GLBE
73.0,81.832,72.5,81.19,1880980,2021-08-30 05:00:00,GLBE
81.6,83.77,78.02,78.96,935041,2021-08-31 05:00:00,GLBE
80.31,83.23,79.95,81.69,615713,2021-09-01 05:00:00,GLBE
82.2,83.09,75.6,77.55,1123428,2021-09-02 05:00:00,GLBE
78.36,79.8,77.3907,79.66,410853,2021-09-03 05:00:00,GLBE
79.54,79.54,74.19,74.28,732353,2021-09-07 05:00:00,GLBE
73.54,74.78,67.83,68.69,1824111,2021-09-08 05:00:00,GLBE
67.93,69.29,63.3,64.5,3262630,2021-09-09 05:00:00,GLBE
67.19,70.25,65.9,67.3,5565992,2021-09-10 05:00:00,GLBE
