open,high,low,close,volume,datetime,symbol
9.95,9.96,9.94,9.94,639935,2021-06-15 14:35:00,DILAU
9.94,9.95,9.94,9.94,13000,2021-06-15 14:40:00,DILAU
9.94,9.96,9.94,9.96,68531,2021-06-15 14:45:00,DILAU
9.95,9.95,9.95,9.95,27987,2021-06-15 14:50:00,DILAU
9.95,9.96,9.95,9.95,10600,2021-06-15 14:55:00,DILAU
9.96,9.96,9.95,9.95,3069,2021-06-15 15:00:00,DILAU
9.95,9.96,9.95,9.9597,11651,2021-06-15 15:05:00,DILAU
9.95,9.95,9.94,9.94,42878,2021-06-15 15:10:00,DILAU
9.94,9.95,9.94,9.94,5600,2021-06-15 15:15:00,DILAU
9.94,9.94,9.94,9.94,4100,2021-06-15 15:20:00,DILAU
9.94,9.94,9.94,9.94,6500,2021-06-15 15:25:00,DILAU
9.94,9.94,9.94,9.94,3400,2021-06-15 15:30:00,DILAU
9.94,9.95,9.94,9.95,18400,2021-06-15 15:35:00,DILAU
9.94,9.94,9.94,9.94,3200,2021-06-15 15:40:00,DILAU
9.94,9.945,9.94,9.94,8008,2021-06-15 15:45:00,DILAU
9.94,9.94,9.94,9.94,3500,2021-06-15 15:50:00,DILAU
9.94,9.95,9.94,9.94,4000,2021-06-15 15:55:00,DILAU
9.94,9.94,9.91,9.92,60283,2021-06-15 16:00:00,DILAU
9.91,9.92,9.91,9.92,4600,2021-06-15 16:05:00,DILAU
9.91,9.92,9.91,9.92,22100,2021-06-15 16:10:00,DILAU
9.92,9.9297,9.92,9.9297,500,2021-06-15 16:15:00,DILAU
9.92,9.92,9.92,9.92,1200,2021-06-15 16:20:00,DILAU
9.92,9.93,9.92,9.93,10800,2021-06-15 16:25:00,DILAU
9.92,9.92,9.92,9.92,1100,2021-06-15 16:30:00,DILAU
9.92,9.92,9.92,9.92,2800,2021-06-15 16:35:00,DILAU
9.9299,9.93,9.92,9.92,11900,2021-06-15 16:40:00,DILAU
9.92,9.9299,9.92,9.92,3300,2021-06-15 16:45:00,DILAU
9.92,9.93,9.92,9.92,3000,2021-06-15 16:50:00,DILAU
9.92,9.92,9.92,9.92,9700,2021-06-15 16:55:00,DILAU
9.92,9.92,9.92,9.92,3000,2021-06-15 17:00:00,DILAU
9.92,9.92,9.92,9.92,2600,2021-06-15 17:05:00,DILAU
9.92,9.92,9.92,9.92,2800,2021-06-15 17:10:00,DILAU
9.92,9.92,9.92,9.92,2900,2021-06-15 17:15:00,DILAU
