open,high,low,close,volume,datetime,symbol
72.18,72.78,72.0904,72.36,2079474,2019-12-31 06:00:00,CSX
72.82,73.19,72.25,73.19,2830179,2020-01-02 06:00:00,CSX
72.0,72.94,71.63,72.89,3326341,2020-01-03 06:00:00,CSX
72.18,72.75,71.74,72.51,4878819,2020-01-06 06:00:00,CSX
72.7,73.53,72.16,73.0,4787017,2020-01-07 06:00:00,CSX
73.47,73.83,73.07,73.38,2870862,2020-01-08 06:00:00,CSX
73.4,73.75,73.22,73.74,2154302,2020-01-09 06:00:00,CSX
73.72,73.8598,73.265,73.36,2036527,2020-01-10 06:00:00,CSX
73.37,74.765,73.15,74.69,3552134,2020-01-13 06:00:00,CSX
74.48,75.32,74.21,74.66,3083345,2020-01-14 06:00:00,CSX
74.51,75.58,74.38,74.99,4785190,2020-01-15 06:00:00,CSX
75.65,76.85,75.65,76.74,7035542,2020-01-16 06:00:00,CSX
75.5,77.19,75.19,76.4,10446824,2020-01-17 06:00:00,CSX
75.72,76.06,74.65,74.83,4927192,2020-01-21 06:00:00,CSX
75.12,75.19,74.225,74.61,4259913,2020-01-22 06:00:00,CSX
74.54,76.72,73.94,76.64,4368600,2020-01-23 06:00:00,CSX
76.68,77.04,76.04,76.7,3604050,2020-01-24 06:00:00,CSX
75.0,75.83,74.61,75.17,3677943,2020-01-27 06:00:00,CSX
75.72,76.63,75.3,76.22,3653356,2020-01-28 06:00:00,CSX
76.73,78.4,76.5,77.53,4944568,2020-01-29 06:00:00,CSX
76.41,77.845,76.35,77.78,3225793,2020-01-30 06:00:00,CSX
77.28,77.37,75.875,76.34,4648987,2020-01-31 06:00:00,CSX
77.18,77.59,76.67,77.1,3439678,2020-02-03 06:00:00,CSX
78.25,78.55,77.55,77.77,2937824,2020-02-04 06:00:00,CSX
78.81,78.81,77.895,78.17,3599047,2020-02-05 06:00:00,CSX
78.52,78.65,77.79,78.32,2262101,2020-02-06 06:00:00,CSX
78.92,79.19,77.6668,77.87,3097688,2020-02-07 06:00:00,CSX
77.39,78.91,77.3101,78.88,3284554,2020-02-10 06:00:00,CSX
78.97,79.445,78.405,78.52,2978409,2020-02-11 06:00:00,CSX
79.09,79.5,78.46,79.485,2761611,2020-02-12 06:00:00,CSX
79.3,79.97,78.9,79.84,2443786,2020-02-13 06:00:00,CSX
79.67,79.95,79.14,79.59,2341693,2020-02-14 06:00:00,CSX
79.36,80.09,78.98,79.51,2735055,2020-02-18 06:00:00,CSX
79.8,80.25,79.6,80.17,2251772,2020-02-19 06:00:00,CSX
80.08,80.62,79.6,80.45,2241944,2020-02-20 06:00:00,CSX
79.89,80.44,79.46,79.56,3853566,2020-02-21 06:00:00,CSX
77.97,78.59,77.6,78.06,7515927,2020-02-24 06:00:00,CSX
78.13,78.64,75.4,75.57,8901125,2020-02-25 06:00:00,CSX
76.13,76.74,74.73,75.31,6862669,2020-02-26 06:00:00,CSX
73.66,75.44,72.18,72.27,8697176,2020-02-27 06:00:00,CSX
70.08,70.96,68.42,70.45,11539037,2020-02-28 06:00:00,CSX
70.32,71.41,68.98,70.75,10651337,2020-03-02 06:00:00,CSX
70.23,73.04,68.55,68.91,8122384,2020-03-03 06:00:00,CSX
69.87,72.24,69.38,72.0,5576336,2020-03-04 06:00:00,CSX
69.93,70.58,68.63,68.96,4894744,2020-03-05 06:00:00,CSX
65.94,68.83,65.72,68.25,5189534,2020-03-06 06:00:00,CSX
62.95,63.73,59.59,60.39,8465727,2020-03-09 05:00:00,CSX
