open,high,low,close,volume,datetime,symbol
7.1,7.105,7.0,7.03,16775,2020-12-03 06:00:00,UK
6.94,7.5,6.55,6.86,172679,2020-12-04 06:00:00,UK
6.7,6.7,6.23,6.23,152596,2020-12-07 06:00:00,UK
6.34,6.34,5.7,5.73,112097,2020-12-08 06:00:00,UK
5.88,5.88,5.56,5.56,22188,2020-12-09 06:00:00,UK
5.6,6.1899,5.34,5.94,80776,2020-12-10 06:00:00,UK
6.05,6.88,6.0,6.66,60608,2020-12-11 06:00:00,UK
6.75,7.45,6.73,6.9,108333,2020-12-14 06:00:00,UK
6.91,7.17,6.3249,6.68,41745,2020-12-15 06:00:00,UK
6.455,6.69,6.45,6.69,5479,2020-12-16 06:00:00,UK
6.4966,6.7024,6.4966,6.62,45472,2020-12-17 06:00:00,UK
6.1761,6.54,6.1761,6.37,39773,2020-12-18 06:00:00,UK
6.37,6.48,6.16,6.25,46990,2020-12-21 06:00:00,UK
6.2141,6.3,5.91,6.01,50810,2020-12-22 06:00:00,UK
5.9601,6.32,5.95,6.06,42127,2020-12-23 06:00:00,UK
6.41,6.41,6.02,6.15,60345,2020-12-24 06:00:00,UK
6.05,6.17,5.9,6.01,53985,2020-12-28 06:00:00,UK
6.14,6.14,5.75,5.85,45658,2020-12-29 06:00:00,UK
5.95,6.21,5.85,5.97,46248,2020-12-30 06:00:00,UK
5.9841,6.32,5.85,6.32,87206,2020-12-31 06:00:00,UK
6.45,6.45,5.98,6.015,45182,2021-01-04 06:00:00,UK
6.26,6.26,5.48,5.54,133886,2021-01-05 06:00:00,UK
5.72,5.8,5.58,5.63,43618,2021-01-06 06:00:00,UK
5.65,5.7,5.5,5.64,46202,2021-01-07 06:00:00,UK
5.64,5.85,5.6,5.69,89396,2021-01-08 06:00:00,UK
5.6427,5.6427,5.33,5.6,93499,2021-01-11 06:00:00,UK
5.7,5.9,5.4997,5.73,105443,2021-01-12 06:00:00,UK
5.81,5.81,5.65,5.65,84419,2021-01-13 06:00:00,UK
5.6,5.6,5.45,5.45,104951,2021-01-14 06:00:00,UK
5.47,5.59,5.08,5.23,121987,2021-01-15 06:00:00,UK
5.35,5.35,4.85,5.0,159656,2021-01-19 06:00:00,UK
5.06,5.06,4.76,5.0,132441,2021-01-20 06:00:00,UK
4.97,5.1249,4.7899,4.89,187125,2021-01-21 06:00:00,UK
4.98,5.05,4.73,4.9,349443,2021-01-22 06:00:00,UK
4.87,5.04,4.8,4.95,320895,2021-01-25 06:00:00,UK
4.89,5.55,4.86,5.52,428286,2021-01-26 06:00:00,UK
5.39,6.5227,5.38,6.22,451113,2021-01-27 06:00:00,UK
6.13,6.21,4.9898,5.09,598740,2021-01-28 06:00:00,UK
3.67,3.7,3.31,3.35,3671246,2021-01-29 06:00:00,UK
3.5,3.55,3.2,3.29,1382613,2021-02-01 06:00:00,UK
3.4,3.4,3.05,3.17,973930,2021-02-02 06:00:00,UK
3.23,3.34,3.08,3.31,622250,2021-02-03 06:00:00,UK
3.37,3.39,3.24,3.28,367286,2021-02-04 06:00:00,UK
3.37,3.55,3.36,3.51,996358,2021-02-05 06:00:00,UK
3.65,3.85,3.55,3.65,1613095,2021-02-08 06:00:00,UK
3.65,3.83,3.62,3.75,440197,2021-02-09 06:00:00,UK
3.8,3.81,3.5,3.69,794856,2021-02-10 06:00:00,UK
3.68,3.7185,3.53,3.62,503020,2021-02-11 06:00:00,UK
3.6,3.79,3.59,3.64,559604,2021-02-12 06:00:00,UK
3.68,3.77,3.65,3.69,521786,2021-02-16 06:00:00,UK
3.75,3.75,3.56,3.64,398449,2021-02-17 06:00:00,UK
3.56,3.71,3.52,3.65,450504,2021-02-18 06:00:00,UK
3.66,3.9,3.6519,3.76,1136249,2021-02-19 06:00:00,UK
3.74,3.95,3.65,3.69,1636334,2021-02-22 06:00:00,UK
3.6,3.64,3.33,3.37,1157192,2021-02-23 06:00:00,UK
3.37,3.5,3.37,3.45,361399,2021-02-24 06:00:00,UK
3.47,3.47,3.36,3.37,376868,2021-02-25 06:00:00,UK
3.37,3.45,3.35,3.36,350482,2021-02-26 06:00:00,UK
3.44,3.45,3.39,3.44,144911,2021-03-01 06:00:00,UK
3.44,3.44,3.39,3.43,98846,2021-03-02 06:00:00,UK
3.44,3.47,3.39,3.4,162582,2021-03-03 06:00:00,UK
3.39,3.4,3.2,3.2,355458,2021-03-04 06:00:00,UK
3.23,3.23,2.675,2.93,428927,2021-03-05 06:00:00,UK
2.93,3.0408,2.93,3.0,104012,2021-03-08 06:00:00,UK
3.02,3.3,3.0,3.26,149542,2021-03-09 06:00:00,UK
3.3,3.3,3.1,3.28,169024,2021-03-10 06:00:00,UK
3.25,3.3,3.16,3.3,80301,2021-03-11 06:00:00,UK
3.13,3.25,3.1,3.21,65660,2021-03-12 06:00:00,UK
3.2,3.27,3.2,3.25,94130,2021-03-15 05:00:00,UK
3.25,3.48,3.2,3.23,544403,2021-03-16 05:00:00,UK
3.23,3.3299,3.1,3.26,248251,2021-03-17 05:00:00,UK
3.21,3.29,3.1864,3.22,113114,2021-03-18 05:00:00,UK
3.17,3.25,3.1,3.25,88221,2021-03-19 05:00:00,UK
3.18,3.2501,3.07,3.25,73009,2021-03-22 05:00:00,UK
3.24,3.325,3.1,3.12,155423,2021-03-23 05:00:00,UK
3.1267,3.1803,3.01,3.01,92121,2021-03-24 05:00:00,UK
3.0,3.0,2.9,2.92,103842,2021-03-25 05:00:00,UK
2.93,3.01,2.93,3.01,85067,2021-03-26 05:00:00,UK
3.0,3.0558,2.94,3.0,36832,2021-03-29 05:00:00,UK
3.01,3.01,2.9,2.93,34318,2021-03-30 05:00:00,UK
2.91,3.0,2.9066,3.0,37758,2021-03-31 05:00:00,UK
3.02,3.27,2.99,3.27,144796,2021-04-01 05:00:00,UK
3.24,3.29,3.03,3.06,126386,2021-04-05 05:00:00,UK
3.08,3.09,3.0301,3.08,50867,2021-04-06 05:00:00,UK
