open,high,low,close,volume,datetime,symbol
9.3,9.3,9.3,9.3,100,2020-09-14 13:30:00,RDCM
9.22,9.22,9.22,9.22,100,2020-09-14 13:55:00,RDCM
9.16,9.16,9.16,9.16,400,2020-09-14 14:10:00,RDCM
9.38,9.38,9.38,9.38,813,2020-09-14 14:15:00,RDCM
9.41,9.41,9.41,9.41,1000,2020-09-14 14:35:00,RDCM
9.41,9.41,9.38,9.39,2200,2020-09-14 15:10:00,RDCM
9.32,9.32,9.32,9.32,100,2020-09-14 16:05:00,RDCM
9.345,9.345,9.345,9.345,100,2020-09-14 17:10:00,RDCM
9.385,9.41,9.385,9.41,200,2020-09-14 19:30:00,RDCM
9.4,9.4,9.4,9.4,100,2020-09-14 19:35:00,RDCM
9.4,9.4,9.4,9.4,100,2020-09-14 19:40:00,RDCM
9.43,9.43,9.43,9.43,200,2020-09-14 19:50:00,RDCM
9.4,9.4,9.38,9.395,400,2020-09-14 19:55:00,RDCM
9.43,9.43,9.43,9.43,500,2020-09-14 20:00:00,RDCM
9.44,9.44,9.44,9.44,196,2020-09-15 13:30:00,RDCM
9.49,9.49,9.49,9.49,1100,2020-09-15 15:25:00,RDCM
9.52,9.52,9.52,9.52,117,2020-09-15 15:30:00,RDCM
9.56,9.56,9.56,9.56,200,2020-09-15 16:10:00,RDCM
9.545,9.545,9.545,9.545,100,2020-09-15 16:15:00,RDCM
9.527,9.527,9.527,9.527,100,2020-09-15 18:35:00,RDCM
9.51,9.51,9.51,9.51,100,2020-09-15 19:30:00,RDCM
9.5,9.5,9.5,9.5,100,2020-09-16 13:35:00,RDCM
9.546,9.546,9.53,9.53,2000,2020-09-16 13:40:00,RDCM
9.5457,9.5457,9.5302,9.5302,500,2020-09-16 13:45:00,RDCM
9.6911,9.6911,9.6911,9.6911,200,2020-09-16 14:00:00,RDCM
9.61,9.649,9.61,9.649,250,2020-09-16 14:30:00,RDCM
9.61,9.649,9.61,9.649,240,2020-09-16 14:35:00,RDCM
9.649,9.649,9.649,9.649,500,2020-09-16 14:40:00,RDCM
9.67,9.69,9.63,9.63,1240,2020-09-16 15:10:00,RDCM
9.7701,9.795,9.7701,9.795,340,2020-09-16 15:50:00,RDCM
9.788,9.788,9.72,9.72,2101,2020-09-16 16:00:00,RDCM
9.7,9.7,9.69,9.69,1350,2020-09-16 16:25:00,RDCM
9.678,9.678,9.678,9.678,150,2020-09-16 16:40:00,RDCM
9.69,9.69,9.69,9.69,100,2020-09-16 17:25:00,RDCM
9.678,9.678,9.66,9.66,2002,2020-09-16 17:30:00,RDCM
9.665,9.665,9.665,9.665,400,2020-09-16 18:00:00,RDCM
9.6,9.6,9.6,9.6,100,2020-09-16 18:10:00,RDCM
9.58,9.58,9.53,9.53,4251,2020-09-16 19:00:00,RDCM
9.54,9.54,9.54,9.54,352,2020-09-16 19:15:00,RDCM
9.515,9.515,9.48,9.48,500,2020-09-16 19:45:00,RDCM
9.48,9.48,9.48,9.48,1669,2020-09-16 19:50:00,RDCM
9.48,9.5,9.47,9.48,9968,2020-09-16 19:55:00,RDCM
9.67,9.67,9.67,9.67,1500,2020-09-17 13:30:00,RDCM
9.535,9.535,9.535,9.535,100,2020-09-17 13:35:00,RDCM
9.4801,9.4801,9.48,9.48,300,2020-09-17 13:40:00,RDCM
9.47,9.5173,9.4,9.41,2200,2020-09-17 13:45:00,RDCM
9.415,9.415,9.415,9.415,100,2020-09-17 14:20:00,RDCM
9.41,9.44,9.41,9.42,300,2020-09-17 14:25:00,RDCM
9.4,9.4,9.395,9.395,200,2020-09-17 14:30:00,RDCM
9.4,9.4,9.4,9.4,100,2020-09-17 14:35:00,RDCM
9.39,9.42,9.39,9.42,200,2020-09-17 14:50:00,RDCM
