open,high,low,close,volume,datetime,symbol
3.4,3.4,3.4,3.4,2000,2021-06-01 10:20:00,MDWD
3.44,3.47,3.44,3.47,1696,2021-06-01 13:30:00,MDWD
3.494,3.52,3.494,3.52,1400,2021-06-01 13:35:00,MDWD
3.5022,3.55,3.5022,3.55,702,2021-06-01 13:40:00,MDWD
3.54,3.54,3.52,3.53,1623,2021-06-01 13:45:00,MDWD
3.53,3.58,3.53,3.58,4512,2021-06-01 13:50:00,MDWD
3.5782,3.58,3.5,3.5,1103,2021-06-01 14:05:00,MDWD
3.5254,3.5254,3.46,3.46,1089,2021-06-01 14:15:00,MDWD
3.5181,3.58,3.5,3.56,4857,2021-06-01 14:20:00,MDWD
3.5599,3.56,3.5,3.5,4097,2021-06-01 14:25:00,MDWD
3.52,3.52,3.5,3.51,5454,2021-06-01 14:30:00,MDWD
3.51,3.56,3.505,3.54,7346,2021-06-01 14:35:00,MDWD
3.51,3.53,3.51,3.53,6673,2021-06-01 14:40:00,MDWD
3.54,3.55,3.5302,3.548,4498,2021-06-01 14:45:00,MDWD
3.535,3.58,3.535,3.578,6560,2021-06-01 14:50:00,MDWD
3.55,3.5988,3.55,3.57,800,2021-06-01 14:55:00,MDWD
3.61,3.61,3.56,3.59,600,2021-06-01 15:00:00,MDWD
3.59,3.6,3.57,3.58,1900,2021-06-01 15:05:00,MDWD
3.6,3.6069,3.55,3.56,8500,2021-06-01 15:10:00,MDWD
3.55,3.59,3.54,3.59,9353,2021-06-01 15:15:00,MDWD
3.52,3.52,3.52,3.52,100,2021-06-01 15:25:00,MDWD
3.51,3.51,3.51,3.51,120,2021-06-01 15:30:00,MDWD
3.56,3.56,3.56,3.56,200,2021-06-01 15:35:00,MDWD
3.5238,3.5238,3.51,3.51,400,2021-06-01 15:45:00,MDWD
3.54,3.55,3.54,3.55,6300,2021-06-01 16:25:00,MDWD
3.539,3.539,3.539,3.539,136,2021-06-01 17:05:00,MDWD
3.54,3.54,3.53,3.53,4200,2021-06-01 17:15:00,MDWD
3.54,3.54,3.54,3.54,1000,2021-06-01 17:20:00,MDWD
3.54,3.54,3.54,3.54,203,2021-06-01 17:35:00,MDWD
3.52,3.5201,3.52,3.5201,4400,2021-06-01 17:50:00,MDWD
3.53,3.5399,3.53,3.53,384,2021-06-01 18:05:00,MDWD
3.53,3.53,3.53,3.53,400,2021-06-01 18:50:00,MDWD
3.5363,3.5363,3.5,3.5,18626,2021-06-01 18:55:00,MDWD
3.505,3.51,3.505,3.51,800,2021-06-01 19:00:00,MDWD
3.51,3.515,3.5,3.5,700,2021-06-01 19:05:00,MDWD
3.5,3.515,3.5,3.515,500,2021-06-01 19:10:00,MDWD
3.515,3.515,3.5,3.5,1700,2021-06-01 19:15:00,MDWD
3.5048,3.53,3.5,3.53,1550,2021-06-01 19:25:00,MDWD
3.5,3.51,3.5,3.5099,5180,2021-06-01 19:30:00,MDWD
3.505,3.51,3.489,3.489,9035,2021-06-01 19:35:00,MDWD
3.5099,3.5099,3.5099,3.5099,1300,2021-06-01 19:40:00,MDWD
3.5,3.5,3.5,3.5,100,2021-06-01 19:45:00,MDWD
3.51,3.525,3.5,3.5,6398,2021-06-01 19:50:00,MDWD
3.52,3.52,3.48,3.5,4422,2021-06-01 19:55:00,MDWD
3.51,3.51,3.51,3.51,1577,2021-06-01 20:00:00,MDWD
3.5,3.5,3.5,3.5,2000,2021-06-01 20:25:00,MDWD
3.48,3.48,3.48,3.48,600,2021-06-02 12:15:00,MDWD
3.45,3.45,3.44,3.44,500,2021-06-02 12:20:00,MDWD
3.51,3.59,3.51,3.54,3221,2021-06-02 13:30:00,MDWD
3.54,3.55,3.54,3.55,491,2021-06-02 13:35:00,MDWD
3.54,3.57,3.52,3.52,11931,2021-06-02 13:40:00,MDWD
3.51,3.54,3.5,3.5,5200,2021-06-02 13:45:00,MDWD
3.5,3.5,3.46,3.4938,14233,2021-06-02 13:50:00,MDWD
3.5,3.54,3.5,3.54,5942,2021-06-02 14:00:00,MDWD
3.54,3.55,3.5,3.52,2579,2021-06-02 14:05:00,MDWD
3.525,3.525,3.5,3.5,750,2021-06-02 14:10:00,MDWD
3.5,3.51,3.5,3.51,3400,2021-06-02 14:15:00,MDWD
3.49,3.49,3.45,3.45,2800,2021-06-02 14:20:00,MDWD
3.475,3.475,3.475,3.475,1000,2021-06-02 14:25:00,MDWD
3.4601,3.4601,3.4601,3.4601,1500,2021-06-02 14:30:00,MDWD
3.4501,3.4501,3.4501,3.4501,130,2021-06-02 14:35:00,MDWD
3.46,3.46,3.4406,3.4406,3352,2021-06-02 14:40:00,MDWD
3.465,3.465,3.46,3.46,400,2021-06-02 14:45:00,MDWD
3.4899,3.4899,3.4899,3.4899,500,2021-06-02 14:50:00,MDWD
3.45,3.45,3.45,3.45,470,2021-06-02 15:10:00,MDWD
3.461,3.461,3.461,3.461,1000,2021-06-02 15:25:00,MDWD
3.4688,3.4688,3.4688,3.4688,1001,2021-06-02 15:30:00,MDWD
3.45,3.45,3.45,3.45,970,2021-06-02 15:35:00,MDWD
3.44,3.4655,3.44,3.44,906,2021-06-02 15:50:00,MDWD
3.44,3.44,3.44,3.44,502,2021-06-02 15:55:00,MDWD
3.41,3.41,3.41,3.41,200,2021-06-02 16:00:00,MDWD
3.4699,3.4699,3.42,3.42,700,2021-06-02 16:05:00,MDWD
3.42,3.44,3.42,3.42,1410,2021-06-02 16:10:00,MDWD
3.42,3.42,3.42,3.42,700,2021-06-02 16:15:00,MDWD
3.41,3.43,3.41,3.43,300,2021-06-02 16:20:00,MDWD
3.43,3.43,3.43,3.43,400,2021-06-02 16:25:00,MDWD
3.43,3.43,3.41,3.41,400,2021-06-02 16:30:00,MDWD
3.435,3.435,3.435,3.435,500,2021-06-02 16:35:00,MDWD
3.43,3.43,3.43,3.43,145,2021-06-02 16:45:00,MDWD
3.4453,3.4453,3.4453,3.4453,100,2021-06-02 16:55:00,MDWD
3.43,3.43,3.43,3.43,668,2021-06-02 17:00:00,MDWD
3.4392,3.4392,3.4392,3.4392,100,2021-06-02 17:20:00,MDWD
3.44,3.44,3.44,3.44,400,2021-06-02 17:25:00,MDWD
3.47,3.47,3.4436,3.47,676,2021-06-02 17:30:00,MDWD
3.4447,3.4447,3.4447,3.4447,150,2021-06-02 17:40:00,MDWD
3.4599,3.4599,3.4599,3.4599,900,2021-06-02 17:45:00,MDWD
3.4599,3.46,3.45,3.45,1300,2021-06-02 17:50:00,MDWD
3.45,3.45,3.4499,3.4499,5400,2021-06-02 18:00:00,MDWD
3.44,3.44,3.44,3.44,200,2021-06-02 18:10:00,MDWD
3.42,3.43,3.42,3.42,829,2021-06-02 18:20:00,MDWD
3.42,3.42,3.42,3.42,300,2021-06-02 18:25:00,MDWD
3.42,3.42,3.42,3.42,100,2021-06-02 18:30:00,MDWD
3.42,3.42,3.4158,3.4158,2200,2021-06-02 18:40:00,MDWD
3.4168,3.4168,3.4168,3.4168,585,2021-06-02 18:45:00,MDWD
3.41,3.41,3.41,3.41,407,2021-06-02 18:50:00,MDWD
3.41,3.42,3.41,3.42,622,2021-06-02 19:00:00,MDWD
3.4471,3.4471,3.42,3.42,600,2021-06-02 19:05:00,MDWD
3.41,3.41,3.4,3.4,2729,2021-06-02 19:10:00,MDWD
3.4572,3.4572,3.4572,3.4572,500,2021-06-02 19:15:00,MDWD
3.42,3.44,3.42,3.44,799,2021-06-02 19:25:00,MDWD
3.4186,3.4186,3.4186,3.4186,1500,2021-06-02 19:30:00,MDWD
3.446,3.446,3.446,3.446,498,2021-06-02 19:45:00,MDWD
3.43,3.43,3.41,3.42,1505,2021-06-02 19:50:00,MDWD
3.41,3.42,3.4,3.4,7497,2021-06-02 19:55:00,MDWD
3.42,3.42,3.42,3.42,1152,2021-06-02 20:00:00,MDWD
3.45,3.45,3.45,3.45,156,2021-06-03 10:40:00,MDWD
3.42,3.42,3.42,3.42,100,2021-06-03 11:00:00,MDWD
3.4,3.5,3.4,3.5,784,2021-06-03 13:30:00,MDWD
3.54,3.54,3.54,3.54,102,2021-06-03 13:35:00,MDWD
3.5335,3.5335,3.45,3.45,2250,2021-06-03 13:40:00,MDWD
3.5,3.5,3.46,3.48,2464,2021-06-03 13:45:00,MDWD
3.46,3.4864,3.44,3.4864,1900,2021-06-03 13:50:00,MDWD
3.4759,3.49,3.4759,3.49,300,2021-06-03 14:00:00,MDWD
3.48,3.49,3.48,3.49,400,2021-06-03 14:05:00,MDWD
3.4678,3.48,3.4678,3.48,576,2021-06-03 14:10:00,MDWD
3.4773,3.48,3.47,3.47,700,2021-06-03 14:15:00,MDWD
3.4501,3.47,3.45,3.47,1800,2021-06-03 14:20:00,MDWD
3.48,3.49,3.46,3.465,6317,2021-06-03 14:35:00,MDWD
3.475,3.475,3.475,3.475,300,2021-06-03 14:40:00,MDWD
3.49,3.49,3.46,3.475,3700,2021-06-03 14:50:00,MDWD
3.475,3.475,3.475,3.475,100,2021-06-03 14:55:00,MDWD
3.46,3.46,3.45,3.45,700,2021-06-03 15:00:00,MDWD
3.465,3.465,3.465,3.465,100,2021-06-03 15:05:00,MDWD
3.445,3.46,3.445,3.45,5304,2021-06-03 15:10:00,MDWD
3.45,3.45,3.44,3.44,500,2021-06-03 15:15:00,MDWD
3.45,3.45,3.45,3.45,100,2021-06-03 15:20:00,MDWD
3.43,3.43,3.42,3.43,700,2021-06-03 15:25:00,MDWD
3.44,3.49,3.44,3.45,8039,2021-06-03 15:30:00,MDWD
3.48,3.53,3.45,3.45,15666,2021-06-03 15:35:00,MDWD
3.5499,3.5499,3.43,3.475,12200,2021-06-03 15:40:00,MDWD
3.45,3.45,3.45,3.45,17349,2021-06-03 15:45:00,MDWD
